g_signal_ratio,log_tokens,cooks_d,stock_code,fiscal_year
0.041,9.1979,0.00549,033780,2023
0.1088,7.8532,0.0006,032640,2021
0.032,8.9863,0.00512,035420,2021
0.0641,8.5374,0.00021,009150,2021
0.1252,7.6985,0.00099,018260,2021
0.0591,8.28,0.00115,005930,2021
0.133,7.8376,0.00135,029780,2021
0.0728,8.6651,0.00026,006400,2021
0.0615,4.1897,0.0675,032830,2021
0.1108,6.9017,0.00077,000100,2021
0.1109,7.5658,0.00067,003670,2021
0.0506,8.8189,0.00453,047050,2021
0.0312,8.9927,0.00013,009540,2021
0.1032,6.9068,0.0015,042660,2021
0.0483,8.4684,0.00147,004020,2021
0.1055,8.0047,0.00056,012330,2021
0.0452,8.7965,0.00177,051910,2021
0.0465,8.6634,0.00018,003490,2021
0.0476,8.7935,0.00016,017670,2021
0.0353,8.0618,0.00054,005180,2021
0.1199,7.7311,0.00084,004170,2021
0.0901,8.0206,0.00037,090430,2021
0.0957,7.9338,0.00042,002790,2021
0.0196,9.1184,0.0001,066570,2021
0.1225,7.5766,0.0009,001120,2021
0.0701,7.7944,0.00046,011790,2021
0.065,8.7142,0.00155,006800,2021
0.0539,8.6482,0.00018,011170,2021
0.0433,8.8886,0.00015,005380,2021
0.0991,7.022,0.00128,024110,2021
0.0504,7.9987,0.00045,007310,2021
0.1056,7.6511,0.00073,000080,2021
0.1178,7.4955,0.0008,005830,2021
0.1689,6.9556,0.00093,003240,2021
0.0623,8.2099,0.00027,004990,2021
0.057,8.1781,0.00123,002380,2021
0.0689,7.8567,0.00042,069960,2021
0.0924,7.379,0.00073,000120,2021
0.0433,8.5287,0.00166,028670,2021
0.0743,8.4517,0.0044,034730,2021
0.0458,8.7561,0.00017,033780,2021
0.0799,7.6089,0.00056,097950,2021
0.1379,7.3889,0.00142,011200,2021
0.0151,9.9928,1e-05,003550,2021
0.1083,7.8928,0.0006,035720,2021
0.0429,8.9578,0.00014,001040,2021
0.0591,8.7851,0.00019,000660,2021
0.0862,7.693,0.00504,030200,2021
0.0223,9.7749,3e-05,000880,2021
0.1022,7.1261,0.00079,036460,2021
0.0656,8.523,0.00022,000720,2021
0.081,8.2792,0.001,011780,2021
0.0435,3.1781,0.18989,009830,2021
0.1401,7.4085,0.00152,000240,2021
0.1143,5.1705,0.03542,005070,2021
0.0736,8.0427,0.00595,068270,2021
0.0211,9.3696,0.00365,015760,2021
0.0872,7.9568,0.00036,032640,2022
0.0577,8.9087,0.00018,005930,2022
0.1061,7.7536,0.00056,018260,2022
0.0695,8.6507,0.00024,009150,2022
0.1367,7.8372,0.00153,029780,2022
0.0494,4.4067,0.06032,032830,2022
0.0794,8.2467,0.00029,090430,2022
0.0826,8.0239,0.00033,002790,2022
0.0678,8.9775,0.00024,006400,2022
0.13,7.1349,0.00069,042660,2022
0.0335,8.7933,0.00016,003490,2022
0.0382,8.913,0.00014,035420,2022
0.0454,8.5566,0.0002,004020,2022
0.1143,7.0058,0.04436,005070,2022
0.0322,8.052,0.00058,005180,2022
0.1164,7.9655,0.0008,001120,2022
0.0348,9.2928,0.0031,005380,2022
0.089,7.3099,0.00085,024110,2022
0.0358,8.7979,0.00016,000720,2022
0.0546,8.8475,0.00017,006800,2022
0.0545,7.7998,0.02983,006110,2022
0.1239,7.8995,0.00101,004170,2022
0.1012,6.8459,0.00097,000100,2022
0.0494,8.1964,0.00032,002380,2022
0.0689,8.3236,0.00024,011780,2022
0.1272,7.7394,0.01015,000080,2022
0.108,7.9694,0.00104,003670,2022
0.1075,7.2937,0.00069,000120,2022
0.02,9.2419,8e-05,066570,2022
0.0524,8.7872,0.00017,017670,2022
0.0256,9.337,0.00341,009540,2022
0.5,1.0986,0.00143,068270,2022
0.072,7.9099,0.00037,011790,2022
0.0451,9.1004,0.00014,033780,2022
0.0734,7.9776,0.00034,069960,2022
0.0948,7.3199,0.00081,120110,2022
0.113,8.0242,0.00073,035720,2022
0.0694,8.2255,0.01577,007310,2022
0.0474,8.4925,0.00851,028670,2022
0.1029,8.0107,0.00052,012330,2022
0.0599,8.917,0.00201,000660,2022
0.0867,7.8018,0.00076,001040,2022
0.0543,8.7088,0.00434,034730,2022
0.0771,7.6064,0.00099,000150,2022
0.1003,7.2204,0.00078,036460,2022
0.0415,8.8452,0.00015,011170,2022
0.0307,9.5002,7e-05,096770,2022
0.1153,7.6034,0.00079,005830,2022
0.158,6.8024,0.06769,003240,2022
0.1347,7.4348,0.0013,011200,2022
0.0936,7.9749,0.0004,030200,2022
0.1364,7.4,0.00951,000240,2022
0.0373,9.0937,0.01217,051910,2022
0.0976,7.5422,0.00057,097950,2022
0.0222,9.5732,0.01953,015760,2022
0.0753,8.3946,0.00026,090430,2023
0.0785,8.2422,0.00028,002790,2023
0.1143,6.966,0.00129,000100,2023
0.0521,8.8782,0.00017,005930,2023
0.0691,8.9596,0.00025,006400,2023
0.1353,7.8026,0.00144,029780,2023
